latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-18T03:00,17.5,95,16.7,0.00,0.00
2024-01-18T04:00,19.2,87,16.9,0.00,0.00
2024-01-18T05:00,19.3,86,17.0,0.00,0.00
2024-01-18T06:00,18.8,89,17.0,0.00,0.00
2024-01-18T07:00,18.1,93,17.0,0.00,0.00
2024-01-18T08:00,19.4,88,17.4,0.00,0.00
2024-01-18T09:00,22.2,76,17.7,0.00,0.00
2024-01-18T10:00,23.8,70,18.0,0.00,0.00
2024-01-18T11:00,25.7,52,15.0,0.00,0.00
2024-01-18T12:00,26.8,45,13.8,0.00,0.00
2024-01-18T13:00,28.2,40,13.4,0.00,0.00
2024-01-18T14:00,29.1,39,13.5,0.00,0.00
2024-01-18T15:00,29.1,38,13.2,0.00,0.00
2024-01-18T16:00,27.1,41,12.8,0.00,0.00
2024-01-18T17:00,26.8,41,12.5,0.00,0.00
2024-01-18T18:00,26.2,48,14.5,0.00,0.00
2024-01-18T19:00,22.8,66,16.1,0.00,0.00
2024-01-18T20:00,21.6,75,16.9,0.00,0.00
2024-01-18T21:00,21.4,74,16.6,0.00,0.00
2024-01-18T22:00,20.7,78,16.7,0.00,0.00
2024-01-18T23:00,20.4,81,17.1,0.00,0.00
2024-01-19T00:00,20.0,86,17.5,0.00,0.00
2024-01-19T01:00,19.3,89,17.5,0.00,0.00
2024-01-19T02:00,19.1,89,17.3,0.00,0.00
2024-01-19T03:00,18.5,92,17.3,0.00,0.00
2024-01-19T04:00,16.8,97,16.3,0.00,0.00
2024-01-19T05:00,16.2,98,15.9,0.00,0.00
2024-01-19T06:00,15.6,98,15.4,0.00,0.00
2024-01-19T07:00,15.2,99,15.1,0.00,0.00
2024-01-19T08:00,18.1,90,16.4,0.00,0.00
2024-01-19T09:00,21.8,71,16.3,0.00,0.00
2024-01-19T10:00,24.1,57,15.0,0.00,0.00
2024-01-19T11:00,25.9,46,13.5,0.00,0.00
2024-01-19T12:00,27.5,41,12.9,0.00,0.00
2024-01-19T13:00,28.7,37,12.4,0.00,0.00
2024-01-19T14:00,29.5,35,12.4,0.00,0.00
2024-01-19T15:00,30.4,33,12.4,0.00,0.00
2024-01-19T16:00,28.5,40,13.7,0.20,0.20
2024-01-19T17:00,28.7,37,12.7,0.00,0.00
2024-01-19T18:00,27.5,45,14.4,0.00,0.00
2024-01-19T19:00,24.4,54,14.5,0.00,0.00
2024-01-19T20:00,22.2,65,15.3,0.00,0.00
